,real,predicted
0,341.899994,355.17554
1,335.75,353.91208
2,340.0,352.6472
3,339.799988,351.29962
4,331.0,349.8684
5,330.0,348.28568
6,333.899994,346.51923
7,331.25,344.64786
8,335.0,342.74603
9,339.350006,340.937
10,349.850006,339.37848
11,364.799988,338.30756
12,363.5,338.0492
13,363.899994,338.73227
14,360.950012,340.29578
15,354.100006,342.5066
16,359.299988,344.99133
17,359.0,347.48987
18,351.5,349.8227
19,341.399994,351.7835
20,338.0,353.11978
21,336.0,353.66757
22,336.0,353.39215
23,337.0,352.38974
24,334.0,350.8516
25,330.549988,348.9564
26,328.25,346.8326
27,332.149994,344.57184
28,338.950012,342.31693
29,349.75,340.28372
30,335.0,338.7675
31,335.700012,337.74924
32,337.5,337.12134
33,339.200012,336.78412
34,332.100006,336.67166
35,343.100006,336.63644
36,335.399994,336.70288
37,332.5,336.8115
38,323.950012,336.86588
39,310.700012,336.6913
40,312.0,336.01736
41,315.0,334.73016
42,304.200012,332.90823
43,296.0,330.5858
44,310.5,327.75525
45,301.5,324.6722
46,288.649994,321.50626
47,294.899994,318.23682
48,296.299988,314.93826
49,290.899994,311.73782
50,290.799988,308.6917
51,286.649994,305.84195
52,291.600006,303.17545
53,286.0,300.74756
54,286.049988,298.54492
55,297.0,296.54956
56,306.799988,294.88803
57,311.799988,293.7823
58,310.0,293.4182
59,308.200012,293.8149
60,308.450012,294.8422
61,306.0,296.30814
62,303.549988,297.98123
63,309.0,299.63196
64,304.700012,301.1646
65,306.200012,302.48666
66,308.450012,303.56516
67,308.149994,304.43176
68,289.700012,305.12823
69,279.0,305.46014
70,271.200012,305.15192
71,265.0,303.98178
72,276.0,301.84677
73,268.100006,298.96738
74,269.600006,295.56958
75,264.0,291.91327
76,261.600006,288.1742
77,273.5,284.47006
78,276.799988,281.04813
79,277.0,278.14932
80,269.950012,275.91385
81,267.799988,274.284
82,261.149994,273.11002
83,254.399994,272.16122
84,259.899994,271.17792
85,253.800003,270.06903
86,252.449997,268.76672
87,255.300003,267.2528
88,259.299988,265.60068
89,259.5,263.96024
90,258.149994,262.46683
91,259.649994,261.1916
92,269.350006,260.17682
93,268.600006,259.54657
94,248.0,259.36008
95,264.5,259.3492
96,262.600006,259.44833
97,260.950012,259.62463
98,255.0,259.83664
99,253.050003,259.97763
100,257.0,259.9457
101,261.350006,259.74158
102,249.550003,259.46112
103,248.699997,259.05725
104,247.5,258.47397
105,253.600006,257.6825
106,262.0,256.7737
107,271.049988,255.95746
108,269.700012,255.50769
109,256.350006,255.56975
110,257.899994,255.99438
111,261.0,256.5937
112,260.5,257.24918
113,261.850006,257.8811
114,259.0,258.45935
115,271.700012,258.94003
116,270.600006,259.45038
117,260.0,260.08932
118,271.0,260.7656
119,270.799988,261.49808
120,276.299988,262.30652
121,277.399994,263.25433
122,269.799988,264.3808
123,265.149994,265.58102
124,264.700012,266.6756
125,258.200012,267.52298
126,252.399994,267.97607
127,254.75,267.90344
128,251.800003,267.30634
129,240.0,266.23975
130,242.0,264.66965
131,235.100006,262.64694
132,228.0,260.20947
133,224.300003,257.3647
134,230.0,254.14023
135,225.0,250.70041
136,223.25,247.18538
137,216.550003,243.70845
138,205.800003,240.29462
139,186.0,236.84734
140,184.75,233.08983
141,186.0,228.86029
142,185.699997,224.1887
143,184.600006,219.23251
144,188.399994,214.19553
145,179.25,209.3286
146,176.800003,204.74147
147,170.0,200.46838
148,172.550003,196.45413
149,168.300003,192.68904
150,166.100006,189.14865
151,169.100006,185.80692
152,177.699997,182.69778
153,178.399994,179.96645
154,179.199997,177.73856
155,181.5,176.07822
156,191.399994,175.00282
157,192.0,174.58054
158,196.5,174.81952
