,decision,money_flow,price,units
0,BUY,-99717.75,335.75,297.0
1,STOPLOSS-SELL,100757.25,339.25,297.0
2,BUY,-100837.798188,333.899994,302.0
3,STOPLOSS-SELL,102136.403624,338.200012,302.0
4,BUY,-102309.901854,331.100006,309.0
5,STOPLOSS-SELL,104689.196292,338.799988,309.0
6,SELL,104716.801728,363.600006,288.0
7,BUY,-104788.801728,363.850006,288.0
8,BUY,-104396.603696,338.950012,308.0
9,SELL,103765.198152,336.899994,308.0
10,BUY,-104005.0,335.5,310.0
11,SELL,103803.50186,334.850006,310.0
12,BUY,-103727.99807999999,324.149994,320.0
13,SELL,99280.0,310.25,320.0
14,BUY,-99327.99807999999,310.399994,320.0
15,STOPLOSS-SELL,100847.99807999999,315.149994,320.0
16,BUY,-100732.5,305.25,330.0
17,SELL,97861.49604,296.549988,330.0
18,BUY,-97954.05406800001,288.950012,339.0
19,STOPLOSS-SELL,99733.80406800001,294.200012,339.0
20,BUY,-99687.75414,288.950012,345.0
21,SELL,97600.49793,282.899994,345.0
22,SELL,97665.74622,310.049988,315.0
23,STOPLOSS-BUY,-96311.25,305.75,315.0
24,BUY,-98838.852046,289.850006,341.0
25,SELL,94576.352046,277.350006,341.0
26,BUY,-94648.80418800001,271.200012,349.0
27,SELL,92101.097906,263.899994,349.0
28,BUY,-92100.595896,269.299988,342.0
29,SELL,91399.5,267.25,342.0
30,BUY,-91312.65108899999,251.55000299999998,363.0
31,STOPLOSS-SELL,93508.802178,257.600006,363.0
32,BUY,-93725.39888400001,251.94999700000002,372.0
33,SELL,93911.39888400001,252.44999700000002,372.0
34,BUY,-93729.59889600001,254.69999700000002,368.0
35,SELL,92680.80220800001,251.850006,368.0
36,SELL,92725.195872,269.549988,344.0
37,STOPLOSS-BUY,-88545.59793599999,257.399994,344.0
38,BUY,-97054.60447600001,260.200012,373.0
39,SELL,93790.84888100001,251.44999700000002,373.0
40,BUY,-93751.698887,252.69999700000002,371.0
41,SELL,92824.198887,250.19999700000002,371.0
42,BUY,-92736.5,240.25,386.0
43,SELL,92987.397684,240.899994,386.0
44,BUY,-93086.70119699999,233.30000299999998,399.0
45,SELL,89994.45119699999,225.55000299999998,399.0
46,BUY,-89826.89879400001,223.44999700000002,402.0
47,STOPLOSS-SELL,92158.5,229.25,402.0
48,BUY,-92250.30127799998,216.55000299999998,426.0
49,SELL,90631.5,212.75,426.0
50,BUY,-90651.0,184.25,492.0
51,STOPLOSS-SELL,92865.0,188.75,492.0
52,BUY,-92837.0,182.75,508.0
53,SELL,93167.196952,183.399994,508.0
54,BUY,-93255.80151800001,184.300003,506.0
55,SELL,93863.0,185.5,506.0
56,BUY,-93721.59843099999,179.199997,523.0
57,SELL,91420.40156900001,174.800003,523.0
58,BUY,-91585.351611,170.550003,537.0
59,SELL,91639.04677799999,170.649994,537.0
60,BUY,-91585.351611,170.550003,537.0
61,SELL,88819.79677799999,165.399994,537.0
62,BUY,-88815.103156,168.850006,526.0
63,STOPLOSS-SELL,92234.103156,175.350006,526.0
64,SELL,92150.0,190.0,485.0
65,STOPLOSS-BUY,-90185.748545,185.949997,485.0
66,BUY,-94215.201572,179.800003,524.0
67,SELL,92643.201572,176.800003,524.0
68,BUY,-92674.248455,179.949997,515.0
69,SELL,92390.99691,179.399994,515.0
70,BUY,-92337.148389,171.949997,537.0
71,STOPLOSS-SELL,94189.79677799999,175.399994,537.0
72,BUY,-94244.398329,169.199997,557.0
73,SELL,90456.79665799999,162.399994,557.0
74,BUY,-90322.198332,162.449997,556.0
75,SELL,87208.603336,156.850006,556.0
76,BUY,-87326.398344,158.199997,552.0
77,STOPLOSS-SELL,90472.796688,163.899994,552.0
78,SELL,90350.0,173.75,520.0
79,STOPLOSS-BUY,-88867.99687999999,170.899994,520.0
80,SELL,91916.203012,183.100006,502.0
81,BUY,-93146.101506,185.550003,502.0
82,BUY,-90756.798428,173.199997,524.0
83,SELL,90101.798428,171.949997,524.0
84,BUY,-90023.501785,151.300003,595.0
85,SELL,90707.748215,152.449997,595.0
